freq,unit,icha11_hc,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_PPS,TOT_HC,PL	: 	: 	46621.35 	46914.39 	50142.74 	52365.92 	55154.04 	55789.42 	60417.96 	61002.40 p	65378.19 p	74975.58 p
A,MIO_PPS,TOT_HC,PT	19708.50 	19014.56 	19208.97 	19308.93 	19991.62 	20575.60 	21078.67 	22476.80 	23485.43 	24000.29 	27235.13 	28857.14 p
A,MIO_PPS,TOT_HC,RO	12752.42 	13327.61 	15172.54 	15261.03 	15778.47 	17446.13 	19500.61 	22534.51 	25395.43 	27757.33 	31779.90 	: 
A,MIO_PPS,TOT_HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10022.06 	: 
A,MIO_PPS,TOT_HC,SE	32009.69 	33276.41 	33323.66 	34513.08 	35910.02 	36016.13 	36962.30 	38454.45 	39371.13 	40581.63 	43726.71 	45067.01 p
A,MIO_PPS,TOT_HC,SI	: 	: 	: 	3769.89 	3897.67 	4002.53 	4121.39 	4404.05 	4774.14 	5124.13 	5624.89 	5805.81 p
A,MIO_PPS,TOT_HC,SK	: 	8472.27 	8552.17 	7968.37 	8178.68 	7840.59 	7561.82 	7630.91 	8283.97 	8265.99 	9491.08 	: 
A,MIO_PPS,TOT_HC,UK	: 	: 	173566.61 	178609.47 	182701.01 	185361.04 	190462.02 	196064.01 	204649.89 	: 	: 	: 
A,NAC_HAB,TOT_HC,AT	3705.34 	3855.27 	3928.93 	4041.59 	4129.77 	4237.37 	4359.69 	4510.08 	4690.47 	4865.28 	5485.57 	5619.83 p
A,NAC_HAB,TOT_HC,BA	: 	: 	659.20 	676.88 	728.29 	787.41 	800.10 	850.55 	: 	: 	: 	: 
A,NAC_HAB,TOT_HC,BE	3529.81 	3651.44 	3723.62 	3814.33 	3990.81 	4096.70 	4224.91 	4372.81 	4497.53 	4462.34 	4789.57 	: 
A,NAC_HAB,TOT_HC,BG	784.20 	852.84 	808.56 	894.96 	922.62 	997.90 	1087.82 	1147.17 	1223.54 	1473.98 	1729.28 	: 
A,NAC_HAB,TOT_HC,CH	8071.91 	8165.00 	8399.15 	8476.46 	8693.57 	8896.78 	8946.05 	8976.81 	9249.01 	9434.66 	9919.41 b	: 
A,NAC_HAB,TOT_HC,CY	1500.98 	1474.97 	1449.97 	1421.46 	1438.18 	1485.39 	1564.91 	1700.49 	1856.90 	2063.70 	2515.24 	: 
A,NAC_HAB,TOT_HC,CZ	29251.97 	29660.81 	29635.36 	31430.88 	32319.48 	33801.06 	35604.48 	38025.65 	41262.54 	49170.73 	55173.78 	: 
A,NAC_HAB,TOT_HC,DE	3616.62 	3704.79 	3834.33 	3985.74 	4145.65 	4279.41 	4480.82 	4660.36 	4897.05 	5197.59 	5599.48 	5839.81 p
A,NAC_HAB,TOT_HC,DK	34503.22 	35659.31 	35498.10 	36190.81 	37062.32 	37724.18 	38413.09 	39272.71 	40351.08 	42084.69 	46280.56 	45011.82 p
A,NAC_HAB,TOT_HC,EE	763.63 	825.61 	901.15 	970.27 	1041.66 	1107.80 	1193.55 	1312.58 	1426.42 	1565.67 	1769.74 	1885.47 p
A,NAC_HAB,TOT_HC,EL	1683.11 	1522.08 	1384.25 	1284.05 	1339.78 	1368.10 	1338.15 	1358.49 	1401.97 	1469.31 	1576.75 	: 
